# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Sep 24 09:34:30 2018
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
#
loc_rowid,kepid,kepoi_name,koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec
1,10797460,K00752.01,CONFIRMED,9.488035570,170.5387500,2.95750,6.1580e+02,2.26,793.0,93.59,35.80,5455.00,4.467,0.9270,291.934230,48.141651
2,10797460,K00752.02,CONFIRMED,54.418382700,162.5138400,4.50700,8.7480e+02,2.83,443.0,9.11,25.80,5455.00,4.467,0.9270,291.934230,48.141651
3,10811496,K00753.01,FALSE POSITIVE,19.899139950,175.8502520,1.78220,1.0829e+04,14.60,638.0,39.30,76.30,5853.00,4.544,0.8680,297.004820,48.134129
4,10848459,K00754.01,FALSE POSITIVE,1.736952453,170.3075650,2.40641,8.0792e+03,33.46,1395.0,891.96,505.60,5805.00,4.564,0.7910,285.534610,48.285210
5,10854555,K00755.01,CONFIRMED,2.525591777,171.5955500,1.65450,6.0330e+02,2.75,1406.0,926.16,40.90,6031.00,4.438,1.0460,288.754880,48.226200
6,10872983,K00756.01,CONFIRMED,11.094320540,171.2011600,4.59450,1.5175e+03,3.90,835.0,114.81,66.50,6046.00,4.486,0.9720,296.286130,48.224670
7,10872983,K00756.02,CONFIRMED,4.134435120,172.9793700,3.14020,6.8600e+02,2.77,1160.0,427.65,40.20,6046.00,4.486,0.9720,296.286130,48.224670
8,10872983,K00756.03,CONFIRMED,2.566588970,179.5543700,2.42900,2.2650e+02,1.59,1360.0,807.74,15.00,6046.00,4.486,0.9720,296.286130,48.224670
9,6721123,K00114.01,FALSE POSITIVE,7.361789580,132.2505300,5.02200,2.3370e+02,39.21,1342.0,767.22,47.70,6227.00,3.986,1.9580,298.864350,42.151569
10,10910878,K00757.01,CONFIRMED,16.068646740,173.6219370,3.53470,4.9143e+03,5.76,600.0,30.75,161.90,5031.00,4.485,0.8480,286.999480,48.375790
11,11446443,K00001.01,CONFIRMED,2.470613377,122.7633050,1.74319,1.4231e+04,13.04,1339.0,761.46,4304.30,5820.00,4.457,0.9640,286.808470,49.316399
12,10666592,K00002.01,CONFIRMED,2.204735417,121.3585417,3.88864,6.6747e+03,16.10,2048.0,4148.92,5945.90,6440.00,4.019,1.9520,292.247280,47.969521
13,6922244,K00010.01,CONFIRMED,3.522498429,121.1194228,3.19843,9.1457e+03,14.59,1521.0,1264.67,1741.50,6225.00,4.169,1.4510,281.288120,42.451080
14,10984090,K00112.02,CONFIRMED,3.709214104,133.9831800,2.63020,1.3110e+02,1.16,1206.0,500.46,50.60,5833.00,4.407,1.0220,295.648710,48.495560
15,10419211,K00742.01,FALSE POSITIVE,11.521446064,170.8396880,3.63990,1.7984e+04,150.51,753.0,75.88,622.10,5795.00,4.554,0.8480,297.079930,47.597401
16,10464078,K00743.01,FALSE POSITIVE,19.403937760,172.4842530,12.21550,8.9187e+03,7.18,523.0,17.69,214.70,5043.00,4.591,0.6800,289.258210,47.635319
17,10480982,K00744.01,FALSE POSITIVE,19.221388942,184.5521637,4.79843,7.4284e+04,49.29,698.0,55.97,2317.00,6117.00,4.496,0.9470,295.814540,47.690350
