         33387371 function calls (33387189 primitive calls) in 2525.396 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    40012 1697.037    0.042 1697.037    0.042 {method 'acquire' of '_thread.lock' objects}
    30571  388.527    0.013  388.527    0.013 {method 'recv_into' of '_socket.socket' objects}
     2001  202.031    0.101  202.031    0.101 {method 'connect' of '_socket.socket' objects}
     2000  113.755    0.057  113.755    0.057 {method 'acquire' of '_multiprocessing.SemLock' objects}
    10000   24.621    0.002   24.621    0.002 {built-in method posix.fork}
    42186   20.096    0.000   20.096    0.000 {built-in method posix.waitpid}
     2000   16.163    0.008   38.717    0.019 /scratch/yyl/noisecorre/keputils.py:6(median_filter)
     2000   10.016    0.005   10.016    0.005 {method 'argsort' of 'numpy.ndarray' objects}
   400708    4.110    0.000    4.110    0.000 {method 'partition' of 'numpy.ndarray' objects}
     2000    3.021    0.002    3.021    0.002 /scratch/yyl/noisecorre/keputils.py:135(phase_fold_time)
   396108    2.305    0.000   21.139    0.000 /usr/local/lib/python3.6/dist-packages/numpy/lib/function_base.py:4125(_median)
   396108    2.115    0.000    7.081    0.000 /usr/local/lib/python3.6/dist-packages/numpy/lib/utils.py:1119(_median_nancheck)
    31303    1.829    0.000    2.297    0.000 /usr/local/lib/python3.6/dist-packages/kplr/mast.py:42(__call__)
   838216    1.690    0.000    2.614    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:1459(normalize_axis_tuple)
   413924    1.563    0.000    1.563    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   419108    1.562    0.000    4.936    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:1515(moveaxis)
     2300    1.438    0.001 2522.463    1.097 transitsim.py:69(simulate_one)
   396108    1.435    0.000    3.680    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/_methods.py:53(_mean)
     2001    1.251    0.001    1.271    0.001 {built-in method _socket.getaddrinfo}
    13200    1.219    0.000    1.219    0.000 {built-in method numpy.core.multiarray.concatenate}
    10000    1.124    0.000   26.726    0.003 /usr/lib/python3.6/multiprocessing/popen_fork.py:63(_launch)
     2000    1.042    0.001    1.042    0.001 /usr/lib/python3.6/json/decoder.py:345(raw_decode)
     2000    0.847    0.000   31.154    0.016 /usr/lib/python3.6/multiprocessing/pool.py:225(_repopulate_pool)
   400708    0.834    0.000    0.834    0.000 {method 'flatten' of 'numpy.ndarray' objects}
  3203756    0.793    0.000    0.793    0.000 {built-in method builtins.issubclass}
   801416    0.788    0.000    2.185    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numerictypes.py:699(issubdtype)
   400708    0.735    0.000   23.148    0.000 /usr/local/lib/python3.6/dist-packages/numpy/lib/function_base.py:3982(_ureduce)
    12000    0.725    0.000    0.771    0.000 /usr/lib/python3.6/multiprocessing/util.py:151(__init__)
  1602832    0.718    0.000    1.316    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numerictypes.py:631(issubclass_)
    10000    0.687    0.000   29.053    0.003 /usr/lib/python3.6/multiprocessing/process.py:95(start)
    10000    0.631    0.000    0.947    0.000 /usr/lib/python3.6/multiprocessing/process.py:71(__init__)
   396108    0.541    0.000    4.221    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/fromnumeric.py:2854(mean)
  1625570    0.538    0.000    0.538    0.000 {built-in method numpy.core.multiarray.array}
     2000    0.531    0.000    0.558    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/files.py:278(close)
    31303    0.517    0.000    1.038    0.000 /usr/local/lib/python3.6/dist-packages/kplr/api.py:530(__init__)
    10000    0.492    0.000   28.065    0.003 /usr/lib/python3.6/multiprocessing/context.py:274(_Popen)
  2097819    0.469    0.000    0.469    0.000 {built-in method builtins.setattr}
  2097327    0.460    0.000    0.460    0.000 {method 'pop' of 'dict' objects}
   396108    0.414    0.000    5.126    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/fromnumeric.py:578(partition)
  1601635    0.407    0.000    0.803    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:495(asanyarray)
     2000    0.400    0.000    0.409    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/files.py:79(make_fid)
  1676432    0.398    0.000    0.628    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:1506(<genexpr>)
     8000    0.398    0.000    0.991    0.000 /usr/lib/python3.6/multiprocessing/synchronize.py:51(__init__)
   396108    0.366    0.000   22.512    0.000 /usr/local/lib/python3.6/dist-packages/numpy/lib/function_base.py:4037(median)
     4000    0.354    0.000    0.614    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/dataset.py:53(make_new_dset)
   398108    0.342    0.000    0.425    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/_methods.py:43(_count_reduce_items)
   474625    0.299    0.000    0.299    0.000 {built-in method builtins.hasattr}
1428403/1428402    0.290    0.000    0.290    0.000 {built-in method builtins.isinstance}
2661809/2661752    0.288    0.000    0.288    0.000 {built-in method builtins.len}
   419109    0.271    0.000    0.271    0.000 {built-in method builtins.sorted}
     2000    0.265    0.000   34.998    0.017 /usr/lib/python3.6/multiprocessing/pool.py:153(__init__)
   838216    0.230    0.000    0.230    0.000 {built-in method numpy.core.multiarray.normalize_axis_index}
    28000    0.227    0.000    0.227    0.000 {built-in method posix.close}
    10000    0.225    0.000    1.172    0.000 /usr/lib/python3.6/multiprocessing/pool.py:150(Process)
    10000    0.221    0.000   27.330    0.003 /usr/lib/python3.6/multiprocessing/popen_fork.py:16(__init__)
   421108    0.207    0.000    0.207    0.000 {method 'transpose' of 'numpy.ndarray' objects}
    20000    0.203    0.000    0.203    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
     2000    0.201    0.000    2.075    0.001 transitsim.py:150(save_to_hdf)
     6000    0.194    0.000    0.194    0.000 {built-in method _thread.start_new_thread}
     4600    0.190    0.000    0.975    0.000 /usr/local/lib/python3.6/dist-packages/numpy/lib/function_base.py:4298(_percentile)
     2000    0.190    0.000    0.190    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/files.py:42(make_fapl)
     2000    0.182    0.000    0.300    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/_methods.py:86(_var)
    10000    0.180    0.000    0.383    0.000 /usr/lib/python3.6/multiprocessing/util.py:395(_flush_std_streams)
     6000    0.179    0.000    0.438    0.000 /usr/lib/python3.6/threading.py:757(__init__)
    16001    0.160    0.000    0.178    0.000 /usr/lib/python3.6/_weakrefset.py:81(add)
     2001    0.149    0.000  598.418    0.299 /usr/local/lib/python3.6/dist-packages/kplr/api.py:155(mast_request)
   396108    0.149    0.000    0.231    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:6198(isMaskedArray)
     4001    0.142    0.000    0.142    0.000 {method 'choice' of 'mtrand.RandomState' objects}
    43744    0.139    0.000   20.250    0.000 /usr/lib/python3.6/multiprocessing/popen_fork.py:24(poll)
     4000    0.134    0.000    0.134    0.000 {built-in method h5py.h5t.py_create}
     2000    0.132    0.000  134.601    0.067 /usr/lib/python3.6/multiprocessing/pool.py:561(_terminate_pool)
    31303    0.131    0.000    1.242    0.000 /usr/local/lib/python3.6/dist-packages/kplr/api.py:721(__init__)
        1    0.129    0.129    0.130    0.130 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
    14000    0.124    0.000    0.124    0.000 /usr/lib/python3.6/threading.py:215(__init__)
     2000    0.124    0.000    0.193    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/group.py:42(create_group)
    10000    0.118    0.000    0.244    0.000 /usr/lib/python3.6/multiprocessing/process.py:52(_cleanup)
     2000    0.118    0.000    1.006    0.001 /usr/lib/python3.6/http/client.py:194(parse_headers)
   421408    0.115    0.000    0.115    0.000 {method 'insert' of 'list' objects}
    95919    0.114    0.000    0.114    0.000 {method 'format' of 'str' objects}
   419108    0.112    0.000    0.112    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:1577(<listcomp>)
     4000    0.110    0.000    0.146    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/dataset.py:317(__init__)
   840216    0.108    0.000    0.108    0.000 {built-in method _operator.index}
    40032    0.106    0.000    0.130    0.000 <frozen importlib._bootstrap>:416(parent)
    64000    0.100    0.000    0.142    0.000 /usr/lib/python3.6/random.py:223(_randbelow)
   492743    0.099    0.000    0.099    0.000 {method 'append' of 'list' objects}
     8000    0.094    0.000 1697.100    0.212 /usr/lib/python3.6/threading.py:263(wait)
    14000    0.094    0.000    0.094    0.000 {built-in method posix.pipe}
    38143    0.090    0.000    0.130    0.000 {method 'join' of 'str' objects}
     4000    0.087    0.000    0.521    0.000 /usr/lib/python3.6/email/feedparser.py:218(_parsegen)
     2000    0.086    0.000    0.186    0.000 /usr/lib/python3.6/email/feedparser.py:471(_parse_headers)
   424893    0.086    0.000    0.086    0.000 {method 'get' of 'dict' objects}
    64000    0.082    0.000    0.235    0.000 /usr/lib/python3.6/random.py:255(choice)
     2001    0.079    0.000  598.519    0.299 /usr/local/lib/python3.6/dist-packages/kplr/api.py:386(_data_search)
     2000    0.079    0.000  268.475    0.134 /usr/lib/python3.6/http/client.py:290(begin)
    30571    0.078    0.000  388.696    0.013 /usr/lib/python3.6/socket.py:572(readinto)
     4000    0.077    0.000    0.942    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/group.py:53(create_dataset)
     8000    0.076    0.000 1697.196    0.212 /usr/lib/python3.6/threading.py:533(wait)
    65744    0.075    0.000    0.075    0.000 {built-in method posix.getpid}
     2000    0.075    0.000   35.096    0.018 /usr/lib/python3.6/multiprocessing/context.py:114(Pool)
    25830    0.074    0.000  279.367    0.011 {method 'readline' of '_io.BufferedReader' objects}
     2000    0.074    0.000  267.311    0.134 /usr/lib/python3.6/http/client.py:257(_read_status)
    18000    0.073    0.000    0.164    0.000 /usr/lib/python3.6/email/message.py:462(get)
    40001    0.072    0.000    0.451    0.000 {built-in method builtins.next}
     4000    0.068    0.000    0.106    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/group.py:248(__setitem__)
     2000    0.068    0.000    0.110    0.000 /usr/lib/python3.6/socket.py:218(makefile)
    12000    0.066    0.000  134.703    0.011 /usr/lib/python3.6/multiprocessing/util.py:167(__call__)
     3943    0.064    0.000  109.468    0.028 {method 'read' of '_io.BufferedReader' objects}
     2001    0.064    0.000  472.478    0.236 /usr/lib/python3.6/urllib/request.py:1276(do_open)
    11500    0.064    0.000    0.064    0.000 {method 'uniform' of 'mtrand.RandomState' objects}
     2300    0.062    0.000    1.313    0.001 /scratch/yyl/noisecorre/transit_basic.py:54(__init__)
    26005    0.061    0.000    0.061    0.000 {method 'add' of 'set' objects}
28082/28080    0.061    0.000    0.224    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
     6000    0.061    0.000    0.063    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/base.py:119(get_lcpl)
     8000    0.060    0.000    0.379    0.000 /usr/lib/python3.6/tempfile.py:296(__next__)
     8000    0.060    0.000    1.104    0.000 /usr/lib/python3.6/multiprocessing/context.py:64(Lock)
    15200    0.057    0.000   10.259    0.001 /usr/local/lib/python3.6/dist-packages/numpy/core/fromnumeric.py:50(_wrapfunc)
