         7221589 function calls (7220879 primitive calls) in 531.857 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6180  419.088    0.068  419.088    0.068 {method 'acquire' of '_thread.lock' objects}
     4788   61.218    0.013   61.218    0.013 {method 'recv_into' of '_socket.socket' objects}
      309   15.742    0.051   15.742    0.051 {method 'acquire' of '_multiprocessing.SemLock' objects}
      309    9.050    0.029    9.050    0.029 {method 'connect' of '_socket.socket' objects}
     1545    5.030    0.003    5.030    0.003 {built-in method posix.fork}
     6874    4.938    0.001    4.938    0.001 {built-in method posix.waitpid}
      309    3.274    0.011    3.274    0.011 {built-in method batman._rsky._rsky}
      309    1.916    0.006    4.833    0.016 /scratch/yyl/noisecorre/keputils.py:6(median_filter)
     1860    1.419    0.001    1.419    0.001 {method 'argsort' of 'numpy.ndarray' objects}
    62375    0.538    0.000    0.538    0.000 {method 'partition' of 'numpy.ndarray' objects}
      309    0.461    0.001    0.461    0.001 /scratch/yyl/noisecorre/keputils.py:135(phase_fold_time)
      309    0.365    0.001    0.368    0.001 {built-in method _socket.getaddrinfo}
     4907    0.354    0.000    0.445    0.000 /usr/local/lib/python3.6/dist-packages/kplr/mast.py:42(__call__)
      309    0.322    0.001    0.322    0.001 {built-in method batman._quadratic_ld._quadratic_ld}
    61677    0.300    0.000    2.731    0.000 /usr/local/lib/python3.6/dist-packages/numpy/lib/function_base.py:4125(_median)
    97314    0.279    0.000    0.289    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    63531    0.276    0.000    1.091    0.000 /usr/local/lib/python3.6/dist-packages/numpy/lib/utils.py:1119(_median_nancheck)
      349    0.252    0.001  531.494    1.523 transitsim.py:68(simulate_one)
     2014    0.249    0.000    0.249    0.000 {built-in method numpy.core.multiarray.concatenate}
     1545    0.233    0.000    5.446    0.004 /usr/lib/python3.6/multiprocessing/popen_fork.py:63(_launch)
   134042    0.219    0.000    0.344    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:1459(normalize_axis_tuple)
    67021    0.210    0.000    0.692    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:1515(moveaxis)
      309    0.199    0.001    0.199    0.001 /usr/lib/python3.6/json/decoder.py:345(raw_decode)
    61677    0.184    0.000    0.469    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/_methods.py:53(_mean)
    30338    0.141    0.000    0.331    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:2934(__array_finalize__)
      309    0.140    0.000    6.248    0.020 /usr/lib/python3.6/multiprocessing/pool.py:225(_repopulate_pool)
    65780    0.133    0.000    0.133    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     1854    0.131    0.000    0.141    0.000 /usr/lib/python3.6/multiprocessing/util.py:151(__init__)
