         10865342 function calls (10865160 primitive calls) in 1022.365 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12900  781.728    0.061  781.728    0.061 {method 'acquire' of '_thread.lock' objects}
    10030  129.503    0.013  129.503    0.013 {method 'recv_into' of '_socket.socket' objects}
      645   40.968    0.064   40.968    0.064 {method 'acquire' of '_multiprocessing.SemLock' objects}
      645   21.008    0.033   21.008    0.033 {method 'connect' of '_socket.socket' objects}
     3225   10.387    0.003   10.387    0.003 {built-in method posix.fork}
    14458    9.253    0.001    9.253    0.001 {built-in method posix.waitpid}
      645    5.526    0.009   13.323    0.021 /scratch/yyl/noisecorre/keputils.py:6(median_filter)
      645    4.290    0.007    4.290    0.007 {method 'argsort' of 'numpy.ndarray' objects}
   129969    1.554    0.000    1.554    0.000 {method 'partition' of 'numpy.ndarray' objects}
      645    1.239    0.002    1.239    0.002 /scratch/yyl/noisecorre/keputils.py:135(phase_fold_time)
   128457    0.774    0.000    7.315    0.000 /usr/local/lib/python3.6/dist-packages/numpy/lib/function_base.py:4125(_median)
    10290    0.721    0.000    0.909    0.000 /usr/local/lib/python3.6/dist-packages/kplr/mast.py:42(__call__)
   128457    0.699    0.000    2.357    0.000 /usr/local/lib/python3.6/dist-packages/numpy/lib/utils.py:1119(_median_nancheck)
      645    0.594    0.001    0.599    0.001 {built-in method _socket.getaddrinfo}
      756    0.560    0.001 1021.279    1.351 transitsim.py:68(simulate_one)
   272034    0.545    0.000    0.853    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:1459(normalize_axis_tuple)
     4314    0.533    0.000    0.533    0.000 {built-in method numpy.core.multiarray.concatenate}
   134299    0.532    0.000    0.532    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   136017    0.526    0.000    1.635    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:1515(moveaxis)
   128457    0.490    0.000    1.244    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/_methods.py:53(_mean)
     3225    0.443    0.000   11.225    0.003 /usr/lib/python3.6/multiprocessing/popen_fork.py:63(_launch)
      645    0.425    0.001    0.425    0.001 /usr/lib/python3.6/json/decoder.py:345(raw_decode)
   129969    0.345    0.000    0.345    0.000 {method 'flatten' of 'numpy.ndarray' objects}
      645    0.319    0.000   12.911    0.020 /usr/lib/python3.6/multiprocessing/pool.py:225(_repopulate_pool)
     3870    0.289    0.000    0.307    0.000 /usr/lib/python3.6/multiprocessing/util.py:151(__init__)
     3225    0.271    0.000    0.388    0.000 /usr/lib/python3.6/multiprocessing/process.py:71(__init__)
   259938    0.268    0.000    0.720    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numerictypes.py:699(issubdtype)
     3225    0.263    0.000   12.115    0.004 /usr/lib/python3.6/multiprocessing/process.py:95(start)
  1039766    0.258    0.000    0.258    0.000 {built-in method builtins.issubclass}
   129969    0.251    0.000    7.967    0.000 /usr/local/lib/python3.6/dist-packages/numpy/lib/function_base.py:3982(_ureduce)
   519876    0.231    0.000    0.425    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numerictypes.py:631(issubclass_)
    10290    0.211    0.000    0.415    0.000 /usr/local/lib/python3.6/dist-packages/kplr/api.py:530(__init__)
   689456    0.186    0.000    0.186    0.000 {method 'pop' of 'dict' objects}
   689696    0.184    0.000    0.184    0.000 {built-in method builtins.setattr}
     3225    0.181    0.000   11.739    0.004 /usr/lib/python3.6/multiprocessing/context.py:274(_Popen)
   527331    0.179    0.000    0.179    0.000 {built-in method numpy.core.multiarray.array}
   128457    0.176    0.000    1.420    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/fromnumeric.py:2854(mean)
      645    0.174    0.000    0.182    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/files.py:278(close)
      645    0.160    0.000    0.163    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/files.py:79(make_fid)
     2580    0.158    0.000    0.399    0.000 /usr/lib/python3.6/multiprocessing/synchronize.py:51(__init__)
   128457    0.140    0.000    1.969    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/fromnumeric.py:578(partition)
   519435    0.139    0.000    0.271    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:495(asanyarray)
   544068    0.130    0.000    0.207    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:1506(<genexpr>)
     1290    0.126    0.000    0.215    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/dataset.py:53(make_new_dset)
   128457    0.125    0.000    7.782    0.000 /usr/local/lib/python3.6/dist-packages/numpy/lib/function_base.py:4037(median)
   154115    0.116    0.000    0.116    0.000 {built-in method builtins.hasattr}
   129102    0.113    0.000    0.141    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/_methods.py:43(_count_reduce_items)
864120/864063    0.100    0.000    0.100    0.000 {built-in method builtins.len}
465408/465407    0.093    0.000    0.094    0.000 {built-in method builtins.isinstance}
   136018    0.090    0.000    0.090    0.000 {built-in method builtins.sorted}
        1    0.089    0.089    0.090    0.090 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
      645    0.089    0.000   14.310    0.022 /usr/lib/python3.6/multiprocessing/pool.py:153(__init__)
     9030    0.087    0.000    0.087    0.000 {built-in method posix.close}
     3225    0.084    0.000   11.452    0.004 /usr/lib/python3.6/multiprocessing/popen_fork.py:16(__init__)
   272034    0.077    0.000    0.077    0.000 {built-in method numpy.core.multiarray.normalize_axis_index}
     3225    0.074    0.000    0.143    0.000 /usr/lib/python3.6/multiprocessing/util.py:395(_flush_std_streams)
      645    0.073    0.000    0.117    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/_methods.py:86(_var)
   136662    0.072    0.000    0.072    0.000 {method 'transpose' of 'numpy.ndarray' objects}
     1935    0.071    0.000    0.071    0.000 {built-in method _thread.start_new_thread}
     1935    0.071    0.000    0.166    0.000 /usr/lib/python3.6/threading.py:757(__init__)
     6450    0.069    0.000    0.069    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      645    0.069    0.000    0.751    0.001 transitsim.py:149(save_to_hdf)
      645    0.067    0.000    0.067    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/files.py:42(make_fapl)
     5161    0.059    0.000    0.065    0.000 /usr/lib/python3.6/_weakrefset.py:81(add)
     1512    0.059    0.000    0.302    0.000 /usr/local/lib/python3.6/dist-packages/numpy/lib/function_base.py:4298(_percentile)
    14458    0.057    0.000    9.317    0.001 /usr/lib/python3.6/multiprocessing/popen_fork.py:24(poll)
      645    0.056    0.000  153.683    0.238 /usr/local/lib/python3.6/dist-packages/kplr/api.py:155(mast_request)
     3225    0.054    0.000    0.443    0.000 /usr/lib/python3.6/multiprocessing/pool.py:150(Process)
     1290    0.054    0.000    0.054    0.000 {method 'choice' of 'mtrand.RandomState' objects}
      645    0.053    0.000   50.497    0.078 /usr/lib/python3.6/multiprocessing/pool.py:561(_terminate_pool)
   128457    0.052    0.000    0.077    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:6198(isMaskedArray)
    10290    0.051    0.000    0.496    0.000 /usr/local/lib/python3.6/dist-packages/kplr/api.py:721(__init__)
     3225    0.047    0.000    0.091    0.000 /usr/lib/python3.6/multiprocessing/process.py:52(_cleanup)
    12932    0.047    0.000    0.055    0.000 <frozen importlib._bootstrap>:416(parent)
     1290    0.047    0.000    0.047    0.000 {built-in method h5py.h5t.py_create}
     4515    0.045    0.000    0.045    0.000 /usr/lib/python3.6/threading.py:215(__init__)
